,Unnamed: 0,well,sweep,protocol,Rseal,Cm,Rseries,gleak_before,E_leak_before,gleak_after,E_leak_after,R_leftover,QC.R_leftover,E_rev,E_rev_before,E_rev_after,QC.Erev,QC6,QC1,QC4,total before-drug flux,-120mV decay time constant 1,-120mV decay time constant 2,-120mV decay time constant 3,-120mV peak current,selected,passed QC,QC.Erev.spread,Erev_spread,pre-drug leak magnitude,post-drug leak magnitude
48,48,P04,0,staircaseramp1,13260940000.0,1.564638e-11,8616617.0,0.3762274278851229,-63.52072076919163,0.3317784726225798,-55.77409880317804,0.0703279416190005,True,-94.33967300115287,-94.1471937226182,-87.34730154741592,True,True,True,True,11671353.738930471,1107.2127887994216,97.6874035833677,159.10819007490616,-977.9877659095334,True,True,True,2.136962689558601,37.92832399567563,33.409634817924584
50,50,P23,0,staircaseramp1,1290767000.0,2.169346e-11,8812139.0,1.412004176282564,-38.45986876856942,1.3283508499454617,-16.82619816884597,0.0783474748094,True,-94.77892947025192,-94.57731228334274,-75.1698912217771,True,True,True,True,9578235.68356808,723.7697490955153,129.8478382858986,171.11685456736652,-944.2971156054856,True,True,True,0.9488268528058228,62.557713663670874,61.78253255696802
1,1,A03,1,staircaseramp1,2147978000.0,1.562104e-11,10209700.0,0.9845611824103958,-51.21174064515182,0.861911246447718,-30.60948333569417,0.0380607644518367,True,-89.76593328516874,-88.78531328677197,-89.32779687598776,True,True,True,True,12183648.28399348,440.9616039464997,73.5634737690446,143.9558795562062,-1152.424836140228,True,True,True,4.098624786642645,55.68937622118305,48.24396894457187
3,3,B01,1,staircaseramp1,314947300000.0,2.127527e-11,9523752.0,1.0755421668329224,-77.57223425293563,0.331211286878785,-46.91592580634197,0.0157204676113442,True,-91.94148737743608,-91.74338827053948,-87.9802843030974,True,True,True,True,40790321.44601996,5000.0,143.18584375822323,172.74898535061254,-1901.1229795698407,True,True,True,1.546824642663026,73.06190607891031,31.449103368681335
5,5,B03,1,staircaseramp1,7178286000.0,1.440328e-11,17026380.0,0.5417005947715315,-59.588553780930894,0.420560872705437,-44.54497717101522,0.0438124268911165,True,-94.65894645651868,-94.2459414812486,-74.62287525128357,True,True,True,True,8623641.991237093,587.1945306105919,88.19455392088875,125.9736420033134,-678.4837779672127,True,True,True,1.6893850059682762,44.00955583606647,34.992666146971736
7,7,B14,1,staircaseramp1,435010000.0,1.289735e-11,13640630.0,3.415263821531387,-28.13018617330034,2.5757336860173563,-34.625228253726114,0.1960241509476475,True,-97.68929936590858,-93.00712067463662,-82.52714885859011,True,True,True,True,6110387.158736208,140.39971309903277,47.10666263546765,87.03366993536962,-530.0446281897842,True,False,True,4.395328892104303,96.08929584663906,83.72325211090421
9,9,D04,1,staircaseramp1,322444100.0,1.520287e-11,12164160.0,4.591881331124325,-24.980332476782223,3.817283353349411,-20.98305170286361,0.2395903594681961,True,-96.33642706159524,-95.00539369846416,-81.69853856789018,True,True,True,True,7035466.485404959,329.4705318054736,112.34153830055796,154.50498097473084,-743.3280533349936,True,False,True,1.3671048980242233,111.86501469553866,103.0389763065651
11,11,D20,1,staircaseramp1,275544400.0,1.58859e-11,15711920.0,5.016998989837008,-25.12065120245928,3.30391439182778,-25.13891387517952,0.1410954070984706,True,-93.84255976807108,-90.82881585149993,-94.3905970827606,True,True,True,True,12246608.51340884,345.4006605776648,79.2070214110503,153.94001167141616,-877.2497734036476,True,False,True,0.725681200908582,116.89885460820359,94.8611663330482
13,13,D22,1,staircaseramp1,3518964000.0,1.500797e-11,15656460.0,0.8261931714465629,-55.70314779830081,0.9030663556866526,-56.90469429256228,0.0371709974552835,True,-92.09810375141856,-91.91054171798272,-94.73744102830833,True,True,True,True,24405314.546459757,5000.0,136.4094044013373,165.3786584117281,-1164.3492157485791,True,True,True,2.471111223805565,52.69295564246907,55.605531181310596
15,15,E08,1,staircaseramp1,1041148000.0,1.788503e-11,8543815.0,2.1107748630580536,-46.93848350840116,1.899612627310728,-34.414682577821594,0.0473650962512865,True,-94.47008593134852,-92.99588471595196,-86.90625698284614,True,True,True,True,10869548.30159155,306.52024234732323,69.53196596685233,135.61188068975855,-1019.6380259411958,True,True,True,2.117651269489329,79.40213624116498,71.87472745248223
